nrKilled,nrWound,year,country,group,attack,target,weapon
0,0,1989,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1989,United Kingdom,Animal Liberation Front (ALF),Bombing/Explosion,Educational Institution,Explosives/Bombs/Dynamite
0,0,1990,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1990,United Kingdom,Animal Liberation Front (ALF),Assassination,Business,Incendiary
0,1,1990,United Kingdom,Animal Liberation Front (ALF),Assassination,Educational Institution,Explosives/Bombs/Dynamite
0,0,1990,United Kingdom,Animal Liberation Front (ALF),Assassination,Private Citizens & Property,Incendiary
0,0,1990,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,2000,United Kingdom,Animal Liberation Front (ALF),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,2001,United Kingdom,Animal Liberation Front (ALF),Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,1,2001,United Kingdom,Animal Liberation Front (ALF),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,2005,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
0,0,1987,United Kingdom,Animal Rights Activists,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
0,0,1990,United Kingdom,Animal Rights Activists,Facility/Infrastructure Attack,Business,Incendiary
0,0,1991,United Kingdom,Animal Rights Activists,Facility/Infrastructure Attack,Business,Incendiary
0,0,2000,United Kingdom,Animal Rights Activists,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,2000,United Kingdom,Animal Rights Activists,Armed Assault,Business,Incendiary
0,1,2001,United Kingdom,Animal Rights Activists,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,1,2001,United Kingdom,Animal Rights Activists,Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,2001,United Kingdom,Animal Rights Activists,Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,2001,United Kingdom,Animal Rights Activists,Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,2001,United Kingdom,Animal Rights Activists,Bombing/Explosion,NGO,Explosives/Bombs/Dynamite
0,0,2001,United Kingdom,Animal Rights Activists,Bombing/Explosion,NGO,Explosives/Bombs/Dynamite
0,0,2001,United Kingdom,Animal Rights Activists,Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,1,1979,United Kingdom,Armenian Secret Army for the Liberation of Armenia,Bombing/Explosion,Airports & Aircraft,Explosives/Bombs/Dynamite
0,0,1980,United Kingdom,Armenian Secret Army for the Liberation of Armenia,Bombing/Explosion,Tourists,Explosives/Bombs/Dynamite
0,0,1980,United Kingdom,Armenian Secret Army for the Liberation of Armenia,Bombing/Explosion,Airports & Aircraft,Explosives/Bombs/Dynamite
0,0,1980,United Kingdom,Armenian Secret Army for the Liberation of Armenia,Bombing/Explosion,Tourists,Explosives/Bombs/Dynamite
0,0,1983,United Kingdom,Armenian Secret Army for the Liberation of Armenia,Bombing/Explosion,Unknown,Unknown
0,1,1971,United Kingdom,Black September,Assassination,Government (Diplomatic),Unknown
1,0,1972,United Kingdom,Black September,Assassination,Government (Diplomatic),Explosives/Bombs/Dynamite
0,1,1972,United Kingdom,Black September,Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,17,1996,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,1996,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,1996,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,1997,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,1997,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
0,0,1997,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
0,0,1998,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,1998,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
2,2,1998,United Kingdom,Continuity Irish Republican Army (CIRA),Armed Assault,Private Citizens & Property,Firearms
0,0,1998,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,1998,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,1998,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,1998,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
1,0,1998,United Kingdom,Continuity Irish Republican Army (CIRA),Armed Assault,Police,Firearms
0,0,1999,United Kingdom,Continuity Irish Republican Army (CIRA),Facility/Infrastructure Attack,Police,Firearms
0,0,2000,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,2000,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Military,Explosives/Bombs/Dynamite
0,0,2000,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2000,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
0,0,2001,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
1,0,2001,United Kingdom,Continuity Irish Republican Army (CIRA),Assassination,Private Citizens & Property,Firearms
0,0,2002,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,2003,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
0,0,2003,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
2,0,2007,United Kingdom,Continuity Irish Republican Army (CIRA),Unarmed Assault,Private Citizens & Property,Melee
0,2,2008,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
1,0,2009,United Kingdom,Continuity Irish Republican Army (CIRA),Armed Assault,Police,Firearms
0,0,2013,United Kingdom,Continuity Irish Republican Army (CIRA),Facility/Infrastructure Attack,Business,Incendiary
0,0,2014,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Unknown,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Continuity Irish Republican Army (CIRA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2012,United Kingdom,Dissident Republicans,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,2012,United Kingdom,Dissident Republicans,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
0,0,2012,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2012,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2012,United Kingdom,Dissident Republicans,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Assassination,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Facility/Infrastructure Attack,Business,Incendiary
0,0,2013,United Kingdom,Dissident Republicans,Facility/Infrastructure Attack,Business,Incendiary
0,0,2013,United Kingdom,Dissident Republicans,Facility/Infrastructure Attack,Business,Incendiary
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Educational Institution,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Hijacking,Police,Unknown
0,0,2013,United Kingdom,Dissident Republicans,Bombing/Explosion,Utilities,Explosives/Bombs/Dynamite
0,0,2013,United Kingdom,Dissident Republicans,Armed Assault,Police,Firearms
0,1,2013,United Kingdom,Dissident Republicans,Armed Assault,Business,Incendiary
0,0,2013,United Kingdom,Dissident Republicans,Armed Assault,Police,Firearms
0,0,2014,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2014,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2014,United Kingdom,Dissident Republicans,Bombing/Explosion,Unknown,Explosives/Bombs/Dynamite
0,0,2014,United Kingdom,Dissident Republicans,Bombing/Explosion,Unknown,Explosives/Bombs/Dynamite
0,0,2014,United Kingdom,Dissident Republicans,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,2014,United Kingdom,Dissident Republicans,Armed Assault,Police,Firearms
0,0,2014,United Kingdom,Dissident Republicans,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,1,2014,United Kingdom,Dissident Republicans,Armed Assault,Private Citizens & Property,Firearms
0,0,2014,United Kingdom,Dissident Republicans,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,2014,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2014,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,1,2014,United Kingdom,Dissident Republicans,Armed Assault,Private Citizens & Property,Firearms
0,0,2015,United Kingdom,Dissident Republicans,Armed Assault,Business,Firearms
0,1,2015,United Kingdom,Dissident Republicans,Armed Assault,Private Citizens & Property,Firearms
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Unknown,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Unknown,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Facility/Infrastructure Attack,Police,Incendiary
0,0,2015,United Kingdom,Dissident Republicans,Hostage Taking (Barricade Incident),Business,Incendiary
0,1,2015,United Kingdom,Dissident Republicans,Armed Assault,Private Citizens & Property,Incendiary
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Unknown,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Facility/Infrastructure Attack,Government (General),Incendiary
0,0,2015,United Kingdom,Dissident Republicans,Facility/Infrastructure Attack,Government (General),Incendiary
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Unknown,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Unknown,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Military,Explosives/Bombs/Dynamite
0,0,2015,United Kingdom,Dissident Republicans,Armed Assault,Private Citizens & Property,Firearms
0,0,2015,United Kingdom,Dissident Republicans,Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,2012,United Kingdom,Informal Anarchist Federation,Facility/Infrastructure Attack,Telecommunication,Incendiary
0,0,2012,United Kingdom,Informal Anarchist Federation,Facility/Infrastructure Attack,Transportation,Incendiary
0,0,2013,United Kingdom,Informal Anarchist Federation,Facility/Infrastructure Attack,Telecommunication,Incendiary
0,0,2013,United Kingdom,Informal Anarchist Federation,Facility/Infrastructure Attack,Business,Incendiary
0,0,2014,United Kingdom,Informal Anarchist Federation,Facility/Infrastructure Attack,Military,Incendiary
0,0,2014,United Kingdom,Informal Anarchist Federation,Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
0,0,2014,United Kingdom,Informal Anarchist Federation,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
0,0,2014,United Kingdom,Informal Anarchist Federation,Facility/Infrastructure Attack,Police,Incendiary
0,0,2014,United Kingdom,Informal Anarchist Federation,Facility/Infrastructure Attack,Business,Incendiary
1,0,1975,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,0,1975,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,0,1975,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,0,1975,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
1,0,1975,United Kingdom,Irish National Liberation Army (INLA),Armed Assault,Police,Firearms
1,0,1975,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
2,0,1975,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,0,1976,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
1,0,1976,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
2,0,1976,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,0,1976,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
1,0,1976,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
1,0,1977,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
1,0,1977,United Kingdom,Irish National Liberation Army (INLA),Assassination,Government (General),Unknown
0,4,1978,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
0,0,1978,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
0,0,1978,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
1,0,1979,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Military,Explosives/Bombs/Dynamite
1,0,1979,United Kingdom,Irish National Liberation Army (INLA),Assassination,Government (General),Explosives/Bombs/Dynamite
1,0,1979,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,1,1979,United Kingdom,Irish National Liberation Army (INLA),Assassination,NGO,Explosives/Bombs/Dynamite
1,0,1979,United Kingdom,Irish National Liberation Army (INLA),Assassination,Police,Firearms
1,0,1979,United Kingdom,Irish National Liberation Army (INLA),Assassination,Police,Firearms
0,0,1980,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Military,Incendiary
0,1,1980,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
1,0,1980,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,0,1980,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
1,0,1980,United Kingdom,Irish National Liberation Army (INLA),Assassination,Business,Firearms
1,0,1980,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
1,0,1980,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Unknown
1,0,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Police,Firearms
1,0,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Police,Firearms
0,1,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Government (General),Firearms
1,0,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
0,0,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Government (General),Explosives/Bombs/Dynamite
0,0,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Government (General),Firearms
0,1,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Government (General),Firearms
1,0,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Police,Firearms
1,0,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
1,0,1981,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,0,1982,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,0,1982,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Private Citizens & Property,Explosives/Bombs/Dynamite
3,0,1982,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Military,Explosives/Bombs/Dynamite
1,0,1982,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Military,Explosives/Bombs/Dynamite
1,0,1982,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,0,1982,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
0,1,1982,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Explosives/Bombs/Dynamite
0,1,1982,United Kingdom,Irish National Liberation Army (INLA),Assassination,Educational Institution,Firearms
0,0,1982,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Government (General),Explosives/Bombs/Dynamite
0,1,1982,United Kingdom,Irish National Liberation Army (INLA),Assassination,Government (General),Explosives/Bombs/Dynamite
2,0,1982,United Kingdom,Irish National Liberation Army (INLA),Assassination,Police,Firearms
16,66,1982,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,1982,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,1983,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Business,Explosives/Bombs/Dynamite
0,0,1983,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Government (General),Incendiary
0,0,1983,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Journalists & Media,Incendiary
1,0,1983,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,0,1983,United Kingdom,Irish National Liberation Army (INLA),Assassination,Police,Firearms
1,0,1983,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Explosives/Bombs/Dynamite
2,0,1983,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
0,0,1983,United Kingdom,Irish National Liberation Army (INLA),Hostage Taking (Kidnapping),Private Citizens & Property,Unknown
2,0,1983,United Kingdom,Irish National Liberation Army (INLA),Armed Assault,Police,Firearms
1,0,1983,United Kingdom,Irish National Liberation Army (INLA),Assassination,Police,Firearms
1,0,1984,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
1,0,1984,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Unknown
0,8,1985,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
1,0,1985,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
0,0,1985,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
0,0,1986,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
0,0,1986,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
1,0,1986,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,0,1987,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
1,0,1987,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,0,1987,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
3,0,1987,United Kingdom,Irish National Liberation Army (INLA),Assassination,Business,Unknown
1,0,1987,United Kingdom,Irish National Liberation Army (INLA),Assassination,Government (General),Firearms
1,0,1987,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,0,1988,United Kingdom,Irish National Liberation Army (INLA),Armed Assault,Military,Firearms
1,0,1988,United Kingdom,Irish National Liberation Army (INLA),Assassination,Business,Firearms
1,0,1990,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
0,0,1991,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Military,Explosives/Bombs/Dynamite
1,0,1991,United Kingdom,Irish National Liberation Army (INLA),Assassination,Business,Firearms
0,0,1991,United Kingdom,Irish National Liberation Army (INLA),Hostage Taking (Kidnapping),Government (General),Firearms
1,0,1992,United Kingdom,Irish National Liberation Army (INLA),Assassination,Military,Firearms
0,0,1992,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
0,0,1992,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
0,0,1992,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
0,0,1992,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
0,0,1992,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
0,0,1992,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
0,0,1992,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
0,0,1992,United Kingdom,Irish National Liberation Army (INLA),Facility/Infrastructure Attack,Business,Incendiary
1,0,1992,United Kingdom,Irish National Liberation Army (INLA),Assassination,Government (General),Firearms
1,1,1994,United Kingdom,Irish National Liberation Army (INLA),Armed Assault,Business,Firearms
1,0,1994,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
3,1,1994,United Kingdom,Irish National Liberation Army (INLA),Assassination,Private Citizens & Property,Firearms
1,0,1996,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,1,1996,United Kingdom,Irish National Liberation Army (INLA),Armed Assault,Terrorists/Non-State Militia,Firearms
0,1,1996,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,0,1996,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,0,1996,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,1,1996,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,0,1997,United Kingdom,Irish National Liberation Army (INLA),Assassination,Police,Firearms
0,0,1997,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Police,Explosives/Bombs/Dynamite
1,0,1997,United Kingdom,Irish National Liberation Army (INLA),Assassination,Terrorists/Non-State Militia,Firearms
1,0,1998,United Kingdom,Irish National Liberation Army (INLA),Armed Assault,Private Citizens & Property,Firearms
1,0,1998,United Kingdom,Irish National Liberation Army (INLA),Armed Assault,Private Citizens & Property,Firearms
0,0,1998,United Kingdom,Irish National Liberation Army (INLA),Bombing/Explosion,Educational Institution,Explosives/Bombs/Dynamite
